,rank,major,degree_type,early_career_pay,mid_career_pay,percentage_high_meaning
128,129,Information Security & Assurance,Bachelors,"$61,400","$109,300",47%
129,130,Medicine,Bachelors,"$60,600","$109,200",92%
130,131,Civil Engineering (CE),Bachelors,"$65,000","$109,000",65%
131,132,Environmental Health & Safety Management,Bachelors,"$61,100","$108,800",61%
132,133,Mathematics,Bachelors,"$63,500","$108,700",45%
133,134,Applied Economics,Bachelors,"$61,400","$108,600",38%
134,135,Construction Science,Bachelors,"$67,400","$108,500",63%
135,135,Political Communication,Bachelors,"$48,800","$108,500",55%
136,137,Marketing & International Business,Bachelors,"$52,500","$108,400",34%
137,137,Software Development,Bachelors,"$65,500","$108,400",45%
138,139,Biochemistry & Molecular Biology,Bachelors,"$53,900","$108,100",71%
139,140,Computing,Bachelors,"$63,500","$108,000",53%
140,140,Construction Management,Bachelors,"$63,200","$108,000",58%
141,142,Accounting & Taxation,Bachelors,"$55,600","$107,800",41%
142,142,Building Construction (BC),Bachelors,"$67,200","$107,800",52%
143,142,International & Comparative Politics,Bachelors,"$45,700","$107,800",53%
144,145,Civil & Environmental Engineering,Bachelors,"$65,300","$107,500",67%
145,146,Business Information Systems,Bachelors,"$65,000","$107,400",43%
146,147,Financial Economics,Bachelors,"$63,300","$107,200",41%
147,147,Sales & Business Marketing,Bachelors,"$55,900","$107,200",51%
148,149,Plastics Engineering,Bachelors,"$68,400","$107,100",58%
149,150,Information Technology Management,Bachelors,"$63,400","$107,000",48%
150,151,Polymer Science & Engineering,Bachelors,"$74,500","$106,900",-
151,152,Informatics,Bachelors,"$70,300","$106,800",42%
152,153,Computer Management Information Systems (CMIS),Bachelors,"$55,700","$106,600",47%
153,153,Information Systems (IS),Bachelors,"$63,900","$106,600",44%
154,155,Agricultural Economics,Bachelors,"$55,600","$106,300",58%
155,156,Data Processing,Bachelors,"$65,600","$106,200",45%
156,157,European Studies,Bachelors,"$47,500","$106,100",46%
157,158,Biosystems Engineering,Bachelors,"$64,700","$106,000",74%
158,158,Nuclear Engineering Technology (NET),Bachelors,"$83,500","$106,000",62%
159,160,Economics & Political Science,Bachelors,"$57,100","$105,700",47%
160,160,Global & International Studies,Bachelors,"$50,000","$105,700",46%
161,162,Organic Chemistry,Bachelors,"$44,500","$105,600",-
